"airline","airlineName","countryName","hub","hubName","iataCode","description"
"http://dbpedia.org/resource/GallopAir","GallopAir","Brunei","http://dbpedia.org/resource/Brunei_International_Airport","Brunei International Airport",,
"http://dbpedia.org/resource/RB_Link","RB Link","Brunei","http://dbpedia.org/resource/Brunei_International_Airport","Brunei International Airport","BI",
"http://dbpedia.org/resource/Royal_Brunei_Airlines","Royal Brunei Airlines","Brunei","http://dbpedia.org/resource/Brunei_International_Airport","Brunei International Airport","BI",
"http://dbpedia.org/resource/Cambodia_Angkor_Air","Air Cambodia","Cambodia",,"-","K6",
"http://dbpedia.org/resource/AirAsia_Cambodia","AirAsia Cambodia","Cambodia",,"-","KT",
"http://dbpedia.org/resource/Cambodia_Airways","Cambodia Airways","Cambodia","http://dbpedia.org/resource/Techo_International_Airport_(Cambodia)","Techo International Airport (Cambodia)","KR",
"http://dbpedia.org/resource/Cambodia_Angkor_Air","Cambodia Angkor Air","Cambodia",,"-","K6",
"http://dbpedia.org/resource/Sky_Angkor_Airlines","Sky Angkor Airlines","Cambodia",,"-","ZA",
"http://dbpedia.org/resource/Air_Born_Indonesia","Air Born Indonesia","Indonesia",,"-",,
"http://dbpedia.org/resource/Airfast_Indonesia","Airfast Indonesia","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","FS",
"http://dbpedia.org/resource/Airmark_Indonesia","Airmark Indonesia","Indonesia","http://dbpedia.org/resource/Jakarta","Jakarta","AI",
"http://dbpedia.org/resource/Asia_Cargo_Airlines","Asia Cargo Airlines","Indonesia","http://dbpedia.org/resource/Halim_Perdanakusuma_International_Airport","Halim Perdanakusuma International Airport","GM",
"http://dbpedia.org/resource/Auvia_Air","Auvia Air","Indonesia",,"-","-",
"http://dbpedia.org/resource/BBN_Airlines","BBN Airlines","Indonesia",,"-","0B",
"http://dbpedia.org/resource/Batik_Air","Batik Air","Indonesia",,"-","ID",
"http://dbpedia.org/resource/Cardig_Air","Cardig Air","Indonesia","http://dbpedia.org/resource/Soekarno–Hatta_International_Airport","Soekarno–Hatta International Airport","8F",
"http://dbpedia.org/resource/Citilink","Citilink","Indonesia",,"-","QG",
"http://dbpedia.org/resource/Deraya_Air_Taxi","Deraya Air Taxi","Indonesia","http://dbpedia.org/resource/Husein_Sastranegara_Airport","Husein Sastranegara Airport","-",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Rahadi_Oesman_Airport","Rahadi Oesman Airport","&mdash;",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Wamena_Airport","Wamena Airport","&mdash;",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Tanah_Merah_Airport","Tanah Merah Airport","&mdash;",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Douw_Aturure_Airport","Douw Aturure Airport","&mdash;",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Dortheys_Hiyo_Eluay_International_Airport","Dortheys Hiyo Eluay International Airport","&mdash;",
"http://dbpedia.org/resource/Dimonim_Air","Dimonim Air","Indonesia","http://dbpedia.org/resource/Sultan_Babullah_Airport","Sultan Babullah Airport","&mdash;",
"http://dbpedia.org/resource/EastIndo","EastIndo","Indonesia","http://dbpedia.org/resource/Halim_Perdanakusuma_International_Airport","Halim Perdanakusuma International Airport","-",
