airline,airlineLabel,countryLabel,hub,hubLabel,iataCode
http://www.wikidata.org/entity/Q123964838,GallopAir,Brunei,http://www.wikidata.org/entity/Q1148514,Bandar Udara Internasional Brunei,
http://www.wikidata.org/entity/Q1050783,Royal Brunei Airlines,Brunei,http://www.wikidata.org/entity/Q1148514,Bandar Udara Internasional Brunei,BI
http://www.wikidata.org/entity/Q4633116,2GO Air,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q4688148,Aero Majestic Airways,Filipina,http://www.wikidata.org/entity/Q1200033,Bandar Udara Internasional Zamboanga,
http://www.wikidata.org/entity/Q4688288,Aerolift Philippines,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q23048079,AirSWIFT,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,T6
http://www.wikidata.org/entity/Q5594222,Grand Air International,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q6082989,Island Aviation,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q6487839,Laoag International Airlines,Filipina,http://www.wikidata.org/entity/Q598033,Bandar Udara Internasional Laoag,
http://www.wikidata.org/entity/Q11155860,Mid-Sea Express,Filipina,http://www.wikidata.org/entity/Q1048704,Bandar Udara Internasional Cebu-Mactan,
http://www.wikidata.org/entity/Q6916417,Mosphil Aero,Filipina,http://www.wikidata.org/entity/Q1200033,Bandar Udara Internasional Zamboanga,
http://www.wikidata.org/entity/Q17088704,PUTANG INA KA Airways,Filipina,http://www.wikidata.org/entity/Q692279,Bandar Utara Internasional Diosdado Macapagal,
http://www.wikidata.org/entity/Q7122620,Pacific Pearl Airways,Filipina,http://www.wikidata.org/entity/Q2293938,Bandar Udara Internasional Teluk Subic,
http://www.wikidata.org/entity/Q7537450,Sky Pasada,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,SP
http://www.wikidata.org/entity/Q7537176,SkyJet,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q874424,TransGlobal Airways,Filipina,http://www.wikidata.org/entity/Q692279,Bandar Utara Internasional Diosdado Macapagal,
http://www.wikidata.org/entity/Q408955,Air Philippines,Filipina,http://www.wikidata.org/entity/Q1048704,Bandar Udara Internasional Cebu-Mactan,
http://www.wikidata.org/entity/Q995151,Cebu Pacific,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,5J
http://www.wikidata.org/entity/Q5448249,Fil-Asian Airways,Filipina,http://www.wikidata.org/entity/Q1048704,Bandar Udara Internasional Cebu-Mactan,
http://www.wikidata.org/entity/Q4199445,Interisland Airlines,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q5357204,Pacific East Asia Cargo Airlines,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q2793221,Pacificair,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,3F
http://www.wikidata.org/entity/Q30644592,Pan Pacific Airlines,Filipina,http://www.wikidata.org/entity/Q1209088,Kalibo International Airport,
http://www.wikidata.org/entity/Q846910,Philippine Airlines,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,
http://www.wikidata.org/entity/Q1319117,Philippines AirAsia,Filipina,http://www.wikidata.org/entity/Q86446,Bandar Udara Internasional Ninoy Aquino,Z2
http://www.wikidata.org/entity/Q550284,South East Asian Airlines,Filipina,http://www.wikidata.org/entity/Q692279,Bandar Utara Internasional Diosdado Macapagal,
